2025-10-28 06:29:08.730 WARNING (Recorder) [homeassistant.components.recorder.util] The system could not validate that the sqlite3 database at //config/home-assistant_v2.db was shutdown cleanly
2025-10-28 11:38:02.366 ERROR (MainThread) [habluetooth.scanner] hci0 (04:68:74:29:49:80): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-28 11:38:02.368 ERROR (MainThread) [habluetooth.scanner] hci0 (04:68:74:29:49:80): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-28 11:38:02.369 ERROR (MainThread) [habluetooth.scanner] hci0 (04:68:74:29:49:80): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-28 11:38:57.787 ERROR (MainThread) [habluetooth.scanner] hci0 (04:68:74:29:49:80): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-28 11:38:57.789 ERROR (MainThread) [habluetooth.scanner] hci0 (04:68:74:29:49:80): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-28 11:38:57.791 ERROR (MainThread) [habluetooth.scanner] hci0 (04:68:74:29:49:80): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-28 11:38:57.792 ERROR (MainThread) [habluetooth.scanner] hci0 (04:68:74:29:49:80): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-28 11:39:22.486 ERROR (MainThread) [habluetooth.scanner] hci0 (04:68:74:29:49:80): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-28 11:39:22.489 ERROR (MainThread) [habluetooth.scanner] hci0 (04:68:74:29:49:80): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-28 11:39:22.490 ERROR (MainThread) [habluetooth.scanner] hci0 (04:68:74:29:49:80): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-28 11:39:22.492 ERROR (MainThread) [habluetooth.scanner] hci0 (04:68:74:29:49:80): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-28 11:40:17.935 ERROR (MainThread) [habluetooth.scanner] hci0 (04:68:74:29:49:80): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-28 11:40:17.938 ERROR (MainThread) [habluetooth.scanner] hci0 (04:68:74:29:49:80): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-28 11:40:17.939 ERROR (MainThread) [habluetooth.scanner] hci0 (04:68:74:29:49:80): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-28 11:40:17.940 ERROR (MainThread) [habluetooth.scanner] hci0 (04:68:74:29:49:80): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-28 11:40:42.602 ERROR (MainThread) [habluetooth.scanner] hci0 (04:68:74:29:49:80): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-28 11:40:42.605 ERROR (MainThread) [habluetooth.scanner] hci0 (04:68:74:29:49:80): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-28 11:40:42.606 ERROR (MainThread) [habluetooth.scanner] hci0 (04:68:74:29:49:80): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-28 11:40:42.607 ERROR (MainThread) [habluetooth.scanner] hci0 (04:68:74:29:49:80): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-28 11:41:38.178 ERROR (MainThread) [habluetooth.scanner] hci0 (04:68:74:29:49:80): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-28 11:41:38.180 ERROR (MainThread) [habluetooth.scanner] hci0 (04:68:74:29:49:80): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-28 11:41:38.182 ERROR (MainThread) [habluetooth.scanner] hci0 (04:68:74:29:49:80): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
